Municipality,2015-7,2016-7,2017-7,wealth rank,diff,diff_pct
SHERMAN,4,3,0,17.0,3,100.0
SIMSBURY,30,31,8,42.0,23,74.0
SOMERS,15,15,10,125.0,5,33.0
SOUTH WINDSOR,37,40,37,63.0,3,8.0
SOUTHBURY,18,18,12,55.0,6,33.0
SOUTHINGTON,110,119,84,100.0,35,29.0
SPRAGUE,15,22,13,149.0,9,41.0
STAFFORD,61,50,30,142.0,20,40.0
STAMFORD,415,523,320,27.0,203,39.0
STERLING,10,13,13,152.0,0,0.0
STONINGTON,62,91,49,37.0,42,46.0
STRATFORD,318,303,265,112.0,38,13.0
SUFFIELD,22,24,16,102.0,8,33.0
TERRYVILLE,37,43,29,,14,33.0
THOMASTON,33,36,25,134.0,11,31.0
THOMPSON,26,19,10,139.0,9,47.0
TOLLAND,20,22,12,78.0,10,45.0
TORRINGTON,230,278,200,153.0,78,28.0
TRUMBULL,34,40,35,40.0,5,12.0
UNION,0,0,0,77.0,0,
VERNON,234,281,161,136.0,120,43.0
VOLUNTOWN,5,5,6,128.0,-1,-20.0
WALLINGFORD,211,222,167,96.0,55,25.0
WARREN,4,2,1,12.0,1,50.0
WASHINGTON,3,5,4,8.0,1,20.0
WATERBURY,1688,1609,1173,165.0,436,27.0
WATERFORD,47,49,29,33.0,20,41.0
WATERTOWN,79,90,57,114.0,33,37.0
WEST HARTFORD,123,132,90,53.0,42,32.0
WEST HAVEN,599,564,479,160.0,85,15.0
WESTBROOK,24,15,5,23.0,10,67.0
WESTON,2,2,1,5.0,1,50.0
WESTPORT,13,12,9,3.0,3,25.0
WETHERSFIELD,97,87,51,107.0,36,41.0
WILLINGTON,17,15,7,126.0,8,53.0
WILTON,3,2,0,6.0,2,100.0
WINCHESTER,52,64,42,141.0,22,34.0
WINDHAM/WILLIMANTIC,293,335,261,,74,22.0
WINDSOR,203,189,125,95.0,64,34.0
WINDSOR LOCKS,62,78,39,99.0,39,50.0
WOLCOTT,42,47,33,120.0,14,30.0
WOODBRIDGE,6,8,4,26.0,4,50.0
WOODBURY,5,8,5,47.0,3,38.0
WOODSTOCK,13,21,17,109.0,4,19.0
Total,21083,22874,15390,,7484,33.0
